english name,province,violation,year,count
Newfoundland and Labrador,NL,Sexual assault,2011,62.59
Newfoundland and Labrador,NL,Assault,2011,697.41
Newfoundland and Labrador,NL,Robbery,2011,21.45
Newfoundland and Labrador,NL,Criminal harassment,2011,40.75
Newfoundland and Labrador,NL,Uttering threats,2011,385.65
Prince Edward Island,PE,Sexual assault,2011,50.79
Prince Edward Island,PE,Assault,2011,479.77
Prince Edward Island,PE,Robbery,2011,11.67
Prince Edward Island,PE,Criminal harassment,2011,85.8
Prince Edward Island,PE,Uttering threats,2011,252.58
Nova Scotia,NS,Sexual assault,2011,72.33
Nova Scotia,NS,Assault,2011,586.95
Nova Scotia,NS,Robbery,2011,49.45
Nova Scotia,NS,Criminal harassment,2011,55.67
Nova Scotia,NS,Uttering threats,2011,324.21
New Brunswick,NB,Sexual assault,2011,72.02
New Brunswick,NB,Assault,2011,644.88
New Brunswick,NB,Robbery,2011,18.4
New Brunswick,NB,Criminal harassment,2011,94.26
New Brunswick,NB,Uttering threats,2011,341.84
Quebec,QC,Sexual assault,2011,46.69
Quebec,QC,Assault,2011,383.68
Quebec,QC,Robbery,2011,84.56
Quebec,QC,Criminal harassment,2011,58.47
Quebec,QC,Uttering threats,2011,207.09
Ontario,ON,Sexual assault,2011,57
Ontario,ON,Assault,2011,377.05
Ontario,ON,Robbery,2011,86.13
Ontario,ON,Criminal harassment,2011,72.32
Ontario,ON,Uttering threats,2011,129.36
Manitoba,MB,Sexual assault,2011,114.17
Manitoba,MB,Assault,2011,846.22
Manitoba,MB,Robbery,2011,177.6
Manitoba,MB,Criminal harassment,2011,26.68
Manitoba,MB,Uttering threats,2011,311.1
Saskatchewan,SK,Sexual assault,2011,106.07
Saskatchewan,SK,Assault,2011,1133.95
Saskatchewan,SK,Robbery,2011,103.04
Saskatchewan,SK,Criminal harassment,2011,58.8
Saskatchewan,SK,Uttering threats,2011,344.01
Alberta,AB,Sexual assault,2011,71.7
Alberta,AB,Assault,2011,622.17
Alberta,AB,Robbery,2011,77.69
Alberta,AB,Criminal harassment,2011,58.76
Alberta,AB,Uttering threats,2011,214.53
British Columbia,BC,Sexual assault,2011,57.93
British Columbia,BC,Assault,2011,586.51
British Columbia,BC,Robbery,2011,98.15
British Columbia,BC,Criminal harassment,2011,55.54
British Columbia,BC,Uttering threats,2011,285.52
Newfoundland and Labrador,NL,Sexual assault,2012,71
Newfoundland and Labrador,NL,Assault,2012,712.17
Newfoundland and Labrador,NL,Robbery,2012,27.7
Newfoundland and Labrador,NL,Criminal harassment,2012,39.21
Newfoundland and Labrador,NL,Uttering threats,2012,389.73
Prince Edward Island,PE,Sexual assault,2012,49.96
Prince Edward Island,PE,Assault,2012,526.33
Prince Edward Island,PE,Robbery,2012,17.11
Prince Edward Island,PE,Criminal harassment,2012,75.29
Prince Edward Island,PE,Uttering threats,2012,257.35
Nova Scotia,NS,Sexual assault,2012,68.83
Nova Scotia,NS,Assault,2012,556.55
Nova Scotia,NS,Robbery,2012,46.48
Nova Scotia,NS,Criminal harassment,2012,66.51
Nova Scotia,NS,Uttering threats,2012,290.19
New Brunswick,NB,Sexual assault,2012,64.69
New Brunswick,NB,Assault,2012,634.83
New Brunswick,NB,Robbery,2012,21.69
New Brunswick,NB,Criminal harassment,2012,91.14
New Brunswick,NB,Uttering threats,2012,342.48
Quebec,QC,Sexual assault,2012,48.36
Quebec,QC,Assault,2012,385.5
Quebec,QC,Robbery,2012,71.68
Quebec,QC,Criminal harassment,2012,62.87
Quebec,QC,Uttering threats,2012,214.63
Ontario,ON,Sexual assault,2012,57.55
Ontario,ON,Assault,2012,356.79
Ontario,ON,Robbery,2012,79.47
Ontario,ON,Criminal harassment,2012,71.75
Ontario,ON,Uttering threats,2012,122.36
Manitoba,MB,Sexual assault,2012,112.55
Manitoba,MB,Assault,2012,868.59
Manitoba,MB,Robbery,2012,168.11
Manitoba,MB,Criminal harassment,2012,25.26
Manitoba,MB,Uttering threats,2012,303.63
Saskatchewan,SK,Sexual assault,2012,93.89
Saskatchewan,SK,Assault,2012,1065.41
Saskatchewan,SK,Robbery,2012,95.84
Saskatchewan,SK,Criminal harassment,2012,49.26
Saskatchewan,SK,Uttering threats,2012,295.66
Alberta,AB,Sexual assault,2012,71.53
Alberta,AB,Assault,2012,617.18
Alberta,AB,Robbery,2012,69.05
Alberta,AB,Criminal harassment,2012,57.52
Alberta,AB,Uttering threats,2012,211.27
British Columbia,BC,Sexual assault,2012,55.06
British Columbia,BC,Assault,2012,551.16
British Columbia,BC,Robbery,2012,97.5
British Columbia,BC,Criminal harassment,2012,56.29
British Columbia,BC,Uttering threats,2012,266.28
